离婚后，原告一直在诉争房屋中居住，但被告始终拒绝协助原告履行房屋过户手续。	4,15,2
被告韩某甲贠小国辩称，对原被告婚姻基本情况及孩子生育情况无异议，原被告夫妻感情并未破裂，双方仅为家务琐事发生矛盾，还有和好可能，要为了孩子被告不同意离婚原.被告婚姻基本情况被告所说属实，2010年7月被告曾向法院起诉要求离婚，后法院判决不准离婚，双方一直未和好，2010年7月原.被告分居至今，夫妻感情已经破裂，现原告起诉离婚，被告同意离婚。	6,5
原、被告于1988年11月以夫妻名义共同生活至今，未办理结婚登记手续，1991年11月15日育有一子吴某甲，1989年11月12日育有一女吴某乙，均已成年。	0
被告刘某婚后的所作所为已严重伤害了夫妻感情，加之双方性格不合，夫妻长期分居，现夫妻感情已无和好可能。	5
庭审中，双方均同意各自名下的存款、住房公积金归各自所有，不需要本院处理。	19
因我们平日生活中追求、想法均差异较大，故此我们之间现在已经毫无夫妻感情可言，也曾多次协商离婚事宜，但我均考虑到孩子还小未与被告离婚。	0
经审理查明，温×与崔×于2010年6月2日登记结婚，婚后于2012年8月育有一女崔X1，现与温×共同生活。	0
自2010年8月起至今，原告一直与侄儿袁建勇一家在长沙市共同生活，期间仅因婚生女郭某的学习问题与被告有过联系。	5,0
乔×1、代×于2009年在房山区窦店镇×村三区环城西大街路西建冷库一座，2009年3月花13万元购买丰田汽车一辆，车牌号京×，登记在乔×1名下；	2
原告于2012年10月第一次起诉要求与被告离婚撤诉后，便开始与被告分居至今。	5
被告在原告向本院提起了离婚诉讼，本院已向其送达了起诉状副本等诉讼文书的情况下，未征得原告的同意，亦未经本院准许，私自以较低的价格变卖深圳市宝安区新安街道建安路弘雅花园三期雅豪轩A栋A1-304号房屋，变卖所得款项除偿还了该套房屋的按揭贷款外，其余资金去向不明，被告的行为涉嫌转移、变卖夫妻共同财产，故根据《中华人民共和国婚姻法》第四十七条“离婚时，一方隐藏、转移、变卖、毁损夫妻共同财产，或伪造债务企图侵占另一方财产的，分割夫妻共同财产时，对隐藏、转移、变卖、毁损夫妻共同财产或伪造债务的一方，可以少分或不分……”	2
一、原告武某某与被告贾某某离婚。	8
夫妻争吵在所难免，为了孩子被告也不离婚。	0
曲某乙之所以到齐河生活、学习，原因也正是原告因离婚后房屋纠纷多次起诉被告，严重干扰到被告及孩子的生活、学习，且被告从未阻止原告探望孩子。	0,1
此后，我经常去原告工作和孩子上学的地方探望，还打钱给原告，不存在原告所述未关心过孩子，未支付过抚养费的情况；	0,3
3、原告常常喝酒，文化层次低，还有一个儿子，根本无法保障龙某乙健康成长。	0,1
婚后于2008年生育一子程某乙，现年八周岁，上小学。	0
贾某乙当庭表示愿随母亲燕某生活。	0
王某也曾多次表示愿意随原告共同生活。	0,1
××××年××月××日生一女，取名杨某甲，××××年××月××日生一子，取名杨某乙。	0
二、婚生女张予馨随原告周××生活，被告张一×自本判决生效之次月起每月15日前给付子女抚养费600元，至子女独立生活之日止；	0,7,3,1
2013年9月3日，原告诉至本院，要求与被告离婚。	6
从贵院作出判决至今，原、被告仍处于分居状态，故原告认为双方夫妻感情已彻底破裂，请求离婚。	5
本院认为，原、被告均系再婚，应珍惜得之不易的夫妻感情，夫妻双方在生活中需要互谅互让，共同维护家庭的美好和谐，虽原告主张夫妻感情已经破裂，但未提供相应的证据加以证明，被告卢某虽曾起诉离婚，但声称后期积极和好，且辩称其当时是冲动之下提出离婚，现坚决不同意离婚，可见夫妻感情并未破裂。	6
关于两人争议的801号房屋，确定系两人婚后购买，系夫妻共同财产，应作为夫妻共同财产予以分割。	4,2
本院认为，原告赵某提出离婚，被告董某同意离婚，且被告董某与他人重婚，依据《中华人民共和国婚姻法》第三十二条的规定，本院依法准予二人离婚。	8,11
第一，夫妻共同财产应当平均分割，涉案房屋现由被告及孩子居住生活，原、被告均认可涉案房屋价值40万元，因此涉案房屋应当归被告张某甲所有，被告应当按照认可的价值给予原告相应的经济补偿；	4,2,14
婚生小孩胡某乙现随被告父母亲生活，基于法律规定，对小孩胡某乙的抚养权及抚养义务应是原、被告，鉴于被告现在部队服役，对照顾小孩生活极为不便，且小孩与母亲同在一个城市生活，小孩应由原告龙某甲抚养为宜，被告应支付小孩抚养费。	0,3,1
原告的收入高于被告，能够为孩子提供更好的生活成长环境，作为孩子的母亲能够更好更方便的照顾女儿，更有利于孩子的成长。	0,1
关于被告的婚前财产，原、被告对该财产均无异议，应予返还。	10
原告戚某有每星期探望小孩戚某钊一次的权利，被告李某有协助的义务。	0
离婚时经双方协商，夫妻共有房产一套，产权划归被告方；	4,2
原、被告认可双方共同财产有洗衣机一台，双方对洗衣机的分割达成一致意见：洗衣机归原告所有。	2
汪某诉称：其与关某甲于2001年按照农村风俗举行了结婚仪式，××××年××月××日双方生育一女关某乙，××××年××月12生育一子关某丙。	0
2、原告诉称被告好吃懒做，家里的农活和小孩的生活费全部由原告及其父母负责不是事实。	0
建第一层房屋时借被告哥哥陈X清1万元。	9
其分得承包田，系其唯一且极其重要的基本生活保障，应予以保护。	4,9,2
2007年1月12日，原、被告举行婚礼后即以夫妻名义同居生活，同年xx月xx日生育孩子莫某某，至今双方仍未办理结婚登记。	13
本院认为，原、被告婚姻基础较差，婚后共同生活时间较短，长期以来互不履行夫妻义务，两人夫妻关系名存实亡，原告现请求离婚依法应予准许。	8
原、被告在离婚时已经人民法院调解，孩子白玉鑫由被告白某某抚养。	0,1
2013年12月韦培霞起诉赵某某、韦某某，要求二人偿还夫妻关系存续期间的债务35000元。	9
